"year","geo","age","age_moe","pop","pop_moe","non_us_citizens","mean_commute_minutes","income","income_moe","owner_occupied_housing_units","median_property_value","median_property_value_moe","estimate","age_rank","pop_rank","income_rank","us_citizens","non_eng_speakers_pct","pop_2ormore","pop_2ormore_moe","pop_asian","pop_asian_moe","pop_black","pop_black_moe","pop_hawaiian","pop_hawaiian_moe","pop_latino","pop_latino_moe","pop_native","pop_native_moe","pop_other","pop_other_moe","pop_white","pop_white_moe","geo.id"
"2015","14000US53033009200","47.2","4.8","2637","298","0.0712931","21.1692","25625","8349","0.0438293","353600","59098","5","8506","59085","67384","0.928707","0.298225","68","45","682","146","296","114","0","12","192","94","119","78","5","9","1275","229","53033009200"
"2014","14000US53033009200","48.1","5","2559","238","0.0930051","21.9953","23208","6842","0.0426513","311100","70508","5","6385","60128","68933","0.906995","0.318983","43","29","679","134","297","131","0","12","189","100","78","70","0","12","1273","205","53033009200"
"2013","14000US53033009200","51.1","3.8","2570","184","0.112062","17.8765","19875","7390","0.0476464","278300","130857","5","2985","59862","70573","0.887938","0.323565","46","52","782","171","289","117","9","23","112","60","39","42","0","12","1293","203","53033009200"
"2015","14000US53033011002","34.2","3.5","4722","509","0.188903","28.8356","47604","7719","0.549296","328000","22787","5","53084","27296","41079","0.811097","0.741098","150","128","2885","360","1081","565","38","61","148","126","143","124","0","12","277","117","53033011002"
"2014","14000US53033011002","33.1","4.2","4552","395","0.144552","25.9039","42715","12694","0.444532","318600","23924","5","56188","29209","47387","0.855448","0.740526","199","208","2346","286","1529","454","35","58","105","96","98","99","0","12","240","99","53033011002"
"2013","14000US53033011002","30.2","4.5","4347","463","0.121233","26.7068","44734","4172","0.460745","297400","17957","5","63708","31905","44022","0.878767","0.724276","131","131","2010","403","1519","520","116","114","163","108","80","95","0","12","328","123","53033011002"
"2015","14000US53033010701","29.8","4.5","3700","341","0.110811","30.2839","55504","6379","0.420685","291000","17831","5","65515","42841","31094","0.889189","0.274413","70","52","404","140","1139","374","119","134","228","143","0","12","0","12","1740","348","53033010701"
"2014","14000US53033010701","30.6","4.4","3506","340","0.122932","26.2627","52699","23803","0.423322","290200","20186","5","63261","45744","33813","0.877068","0.330656","49","56","605","224","1056","345","59","95","183","149","0","12","0","12","1554","405","53033010701"
"2013","14000US53033010701","33.8","3","3126","374","0.0774152","27.4122","50286","20046","0.43609","289000","17543","5","53297","51586","36571","0.922585","0.273396","91","64","559","194","762","353","47","58","109","69","0","12","0","12","1558","341","53033010701"
"2015","14000US53033011001","37.3","1.7","4932","495","0.150446","28.0138","29286","14329","0.338611","290600","24416","5","42273","24444","64494","0.849554","0.662601","52","45","2200","508","1718","322","20","48","275","158","0","12","0","12","667","243","53033011001"
